session_id,user_id,event_date,event_month,event_quarter,product_id,category,brand,price,discount_%,device_type,traffic_source,gender,age_group,city,pages_viewed,time_spent_min,funnel_stage,is_cart,is_checkout,is_purchase,cart_abandoned,revenue
SESS000011,USR03510,17-09-2024,Sep-24,Q3 2024,PROD3266,grocery.beverages,Tropicana,200.14,0,Mobile,Paid Ad,Male,25-34,Kolkata,8,4.5,Purchase,1,1,1,0,200.14
SESS000012,USR01253,01-11-2024,Nov-24,Q4 2024,PROD7916,toys.games,Nintendo,11985.15,25,Desktop,Social Media,Male,25-34,Bangalore,2,17.6,Cart,1,0,0,1,0
SESS000013,USR07956,15-12-2024,Dec-24,Q4 2024,PROD2876,grocery.food,Nestle,696.27,10,Mobile,Social Media,Female,35-44,Hyderabad,15,24.4,Purchase,1,1,1,0,626.64
SESS000014,USR02787,02-01-2024,Jan-24,Q1 2024,PROD8433,electronics.headphone,JBL,13325.57,10,Tablet,Organic Search,Female,18-24,Mumbai,12,39.5,Purchase,1,1,1,0,11993.01
SESS000015,USR06242,23-11-2024,Nov-24,Q4 2024,PROD5889,apparel.clothing,Adidas,4589.35,0,Mobile,Referral,Male,45-54,Delhi,9,27.6,Cart,1,0,0,1,0
SESS000016,USR01324,07-09-2024,Sep-24,Q3 2024,PROD6310,grocery.food,Haldirams,922.57,15,Tablet,Organic Search,Male,25-34,Mumbai,1,5.5,Purchase,1,1,1,0,784.18
SESS000017,USR06814,13-02-2024,Feb-24,Q1 2024,PROD2290,beauty.makeup,L'Oreal,420.12,0,Mobile,Paid Ad,Female,25-34,Bangalore,12,22.1,Purchase,1,1,1,0,420.12
SESS000018,USR04364,15-05-2024,May-24,Q2 2024,PROD3705,electronics.camera,Nikon,84273.84,20,Mobile,Social Media,Female,18-24,Lucknow,9,39.3,Purchase,1,1,1,0,67419.07
SESS000019,USR07610,09-12-2024,Dec-24,Q4 2024,PROD7537,grocery.food,ITC,727.3,30,Mobile,Organic Search,Male,25-34,Bangalore,11,17.1,Cart,1,0,0,1,0
SESS000020,USR02031,28-10-2024,Oct-24,Q4 2024,PROD4770,apparel.accessories,Fossil,5402.24,0,Mobile,Referral,Male,18-24,Hyderabad,4,0.8,View,0,0,0,0,0
SESS000021,USR07418,22-05-2024,May-24,Q2 2024,PROD4899,electronics.laptop,Lenovo,33857.17,30,Mobile,Paid Ad,Male,25-34,Lucknow,11,22.1,View,0,0,0,0,0
SESS000022,USR07664,27-07-2024,Jul-24,Q3 2024,PROD8749,grocery.beverages,Tropicana,144.21,20,Tablet,Social Media,Female,25-34,Lucknow,4,4.7,Cart,1,0,0,1,0
SESS000023,USR03368,01-02-2024,Feb-24,Q1 2024,PROD2612,sports.clothing,Nike,2824.11,0,Mobile,Paid Ad,Male,55+,Mumbai,7,32.9,View,0,0,0,0,0
SESS000024,USR01559,22-05-2024,May-24,Q2 2024,PROD4006,grocery.food,Amul,183.17,0,Mobile,Social Media,Female,35-44,Kolkata,8,11.6,Cart,1,0,0,1,0
SESS000025,USR07057,08-01-2024,Jan-24,Q1 2024,PROD9856,grocery.food,Nestle,98.06,5,Mobile,Organic Search,Female,18-24,Jaipur,2,41.7,View,0,0,0,0,0
SESS000026,USR03979,25-03-2024,Mar-24,Q1 2024,PROD1960,books.fiction,Penguin,712.02,20,Mobile,Paid Ad,Male,25-34,Mumbai,7,0.6,View,0,0,0,0,0
SESS000027,USR06424,20-03-2024,Mar-24,Q1 2024,PROD8973,sports.clothing,Puma,1922.83,0,Mobile,Organic Search,Male,18-24,Mumbai,4,13.7,Checkout,1,1,0,1,0
SESS000028,USR04442,14-09-2024,Sep-24,Q3 2024,PROD8811,electronics.laptop,Lenovo,32145.66,0,Mobile,Referral,Female,35-44,Delhi,15,38.4,View,0,0,0,0,0
SESS000029,USR04161,11-12-2024,Dec-24,Q4 2024,PROD2113,electronics.tablet,Samsung,14796.49,0,Mobile,Organic Search,Female,25-34,Chennai,14,11,Purchase,1,1,1,0,14796.49
SESS000030,USR04667,02-12-2024,Dec-24,Q4 2024,PROD7868,apparel.accessories,Fossil,9481.03,15,Desktop,Organic Search,Male,45-54,Ahmedabad,10,25.7,Purchase,1,1,1,0,8058.88
SESS000031,USR01674,09-12-2024,Dec-24,Q4 2024,PROD3144,home.furniture,Godrej,14749.5,15,Desktop,Email Campaign,Female,18-24,Mumbai,11,13.8,Purchase,1,1,1,0,12537.07
SESS000032,USR07666,07-02-2024,Feb-24,Q1 2024,PROD2638,electronics.tablet,Apple,42079.99,10,Desktop,Email Campaign,Male,35-44,Ahmedabad,9,10,View,0,0,0,0,0
SESS000033,USR02860,12-08-2024,Aug-24,Q3 2024,PROD3584,electronics.tablet,Samsung,35866.9,10,Mobile,Email Campaign,Male,35-44,Bangalore,14,24.7,Checkout,1,1,0,1,0
SESS000034,USR06612,05-12-2024,Dec-24,Q4 2024,PROD5905,toys.games,Sony,10184.02,0,Mobile,Paid Ad,Female,45-54,Kolkata,2,42.3,View,0,0,0,0,0
SESS000035,USR07289,05-11-2024,Nov-24,Q4 2024,PROD5616,electronics.headphone,Boat,5085.71,5,Tablet,Social Media,Female,35-44,Jaipur,4,32.4,Checkout,1,1,0,1,0
SESS000036,USR06988,17-02-2024,Feb-24,Q1 2024,PROD1832,beauty.skincare,Himalaya,1542.32,10,Tablet,Organic Search,Male,35-44,Mumbai,11,19.3,View,0,0,0,0,0
SESS000037,USR02733,09-10-2024,Oct-24,Q4 2024,PROD8239,electronics.camera,Sony,31966.11,0,Mobile,Organic Search,Male,35-44,Chennai,12,19.5,View,0,0,0,0,0
SESS000038,USR07742,08-08-2024,Aug-24,Q3 2024,PROD3426,electronics.camera,Canon,102632.48,15,Desktop,Organic Search,Male,35-44,Delhi,3,2.4,Purchase,1,1,1,0,87237.61
SESS000039,USR06522,07-12-2024,Dec-24,Q4 2024,PROD5088,electronics.laptop,Lenovo,51259.57,30,Mobile,Organic Search,Male,55+,Mumbai,2,16.2,Purchase,1,1,1,0,35881.7
SESS000040,USR03330,24-03-2024,Mar-24,Q1 2024,PROD4878,toys.kids,Mattel,4651.09,20,Desktop,Organic Search,Female,18-24,Delhi,13,36.6,View,0,0,0,0,0
SESS000041,USR06034,16-05-2024,May-24,Q2 2024,PROD5065,home.furniture,Urban Ladder,40507.29,0,Desktop,Organic Search,Male,25-34,Lucknow,3,35.5,Cart,1,0,0,1,0
SESS000042,USR00318,28-06-2024,Jun-24,Q2 2024,PROD8541,books.fiction,Penguin,279.72,5,Mobile,Paid Ad,Male,35-44,Kolkata,5,37,View,0,0,0,0,0
SESS000043,USR05407,22-05-2024,May-24,Q2 2024,PROD2137,apparel.footwear,Reebok,2961.96,20,Tablet,Organic Search,Female,35-44,Ahmedabad,6,29,Checkout,1,1,0,1,0
SESS000044,USR06912,13-05-2024,May-24,Q2 2024,PROD2889,grocery.food,Britannia,942.28,10,Mobile,Email Campaign,Other,25-34,Delhi,3,26.3,View,0,0,0,0,0
SESS000045,USR04888,11-08-2024,Aug-24,Q3 2024,PROD6139,sports.equipment,Adidas,14706.63,0,Mobile,Email Campaign,Female,25-34,Delhi,10,44.3,Cart,1,0,0,1,0
SESS000046,USR04724,01-01-2024,Jan-24,Q1 2024,PROD8144,apparel.footwear,Puma,832.9,30,Mobile,Paid Ad,Male,45-54,Delhi,9,41.7,Checkout,1,1,0,1,0
SESS000047,USR07703,15-11-2024,Nov-24,Q4 2024,PROD6409,apparel.footwear,Puma,3734.73,0,Mobile,Paid Ad,Female,25-34,Jaipur,6,30,Checkout,1,1,0,1,0
SESS000048,USR02461,25-07-2024,Jul-24,Q3 2024,PROD6344,books.education,McGraw-Hill,1400.41,0,Desktop,Email Campaign,Other,25-34,Mumbai,12,13.7,View,0,0,0,0,0
SESS000049,USR05448,26-07-2024,Jul-24,Q3 2024,PROD5930,home.decor,Fabindia,5039.46,10,Mobile,Referral,Female,35-44,Mumbai,9,37.6,View,0,0,0,0,0
SESS000050,USR03522,11-12-2024,Dec-24,Q4 2024,PROD8244,grocery.beverages,Dabur,248.54,0,Mobile,Organic Search,Male,18-24,Kolkata,4,23.2,Checkout,1,1,0,1,0
SESS000051,USR02325,10-12-2024,Dec-24,Q4 2024,PROD4848,books.education,McGraw-Hill,368.1,5,Mobile,Social Media,Female,18-24,Delhi,5,10.5,View,0,0,0,0,0
SESS000052,USR00379,21-08-2024,Aug-24,Q3 2024,PROD2193,apparel.accessories,Ray-Ban,9363.47,5,Mobile,Social Media,Female,35-44,Hyderabad,7,39.9,Checkout,1,1,0,1,0
SESS000053,USR03146,24-02-2024,Feb-24,Q1 2024,PROD1090,books.fiction,HarperCollins,308.59,0,Mobile,Email Campaign,Male,35-44,Delhi,13,19.4,Purchase,1,1,1,0,308.59
SESS000054,USR05701,03-03-2024,Mar-24,Q1 2024,PROD5082,books.education,Wiley,290.39,25,Desktop,Social Media,Male,55+,Mumbai,8,6.4,Checkout,1,1,0,1,0
SESS000055,USR04579,09-11-2024,Nov-24,Q4 2024,PROD8251,toys.kids,Hasbro,4765.19,30,Mobile,Social Media,Other,25-34,Hyderabad,14,32.5,Cart,1,0,0,1,0
SESS000056,USR07429,18-08-2024,Aug-24,Q3 2024,PROD8777,grocery.food,Amul,902.35,10,Desktop,Organic Search,Female,45-54,Mumbai,5,34,Purchase,1,1,1,0,812.12
SESS000057,USR04271,09-02-2024,Feb-24,Q1 2024,PROD8206,books.fiction,Simon & Schuster,305.51,10,Mobile,Referral,Female,45-54,Bangalore,12,13.2,View,0,0,0,0,0
SESS000058,USR07316,15-07-2024,Jul-24,Q3 2024,PROD4788,grocery.food,Nestle,181.46,5,Mobile,Organic Search,Other,45-54,Jaipur,12,7.3,View,0,0,0,0,0
SESS000059,USR03340,03-08-2024,Aug-24,Q3 2024,PROD4388,home.furniture,Urban Ladder,21957.16,0,Mobile,Social Media,Female,25-34,Bangalore,7,40.8,Purchase,1,1,1,0,21957.16
SESS000060,USR06272,01-06-2024,Jun-24,Q2 2024,PROD6763,grocery.beverages,Tropicana,254.18,20,Tablet,Social Media,Female,25-34,Hyderabad,13,17.9,Cart,1,0,0,1,0
SESS000061,USR06019,22-04-2024,Apr-24,Q2 2024,PROD8999,grocery.food,Haldirams,902.92,0,Mobile,Social Media,Female,55+,Lucknow,5,19.9,Cart,1,0,0,1,0
SESS000062,USR05480,14-11-2024,Nov-24,Q4 2024,PROD3091,home.decor,Fabindia,6771.89,20,Desktop,Social Media,Male,45-54,Delhi,9,1.7,Checkout,1,1,0,1,0
SESS000063,USR05432,24-08-2024,Aug-24,Q3 2024,PROD3223,electronics.smartphone,Samsung,54277.97,20,Mobile,Social Media,Male,45-54,Ahmedabad,3,2.7,View,0,0,0,0,0
SESS000064,USR03725,22-05-2024,May-24,Q2 2024,PROD7211,home.furniture,Pepperfry,38539.03,20,Mobile,Organic Search,Male,25-34,Delhi,13,42.8,View,0,0,0,0,0
SESS000065,USR00671,28-06-2024,Jun-24,Q2 2024,PROD1853,books.fiction,Penguin,636.87,0,Mobile,Push Notification,Male,55+,Hyderabad,4,29.4,Purchase,1,1,1,0,636.87
SESS000066,USR07780,02-05-2024,May-24,Q2 2024,PROD3496,apparel.accessories,Casio,12668.82,0,Mobile,Referral,Female,55+,Hyderabad,3,21.6,Cart,1,0,0,1,0
SESS000067,USR01786,06-11-2024,Nov-24,Q4 2024,PROD3749,sports.clothing,Puma,3160.83,0,Mobile,Email Campaign,Female,35-44,Delhi,10,43.4,Purchase,1,1,1,0,3160.83
SESS000068,USR01342,21-10-2024,Oct-24,Q4 2024,PROD6111,beauty.makeup,Maybelline,2399,20,Mobile,Organic Search,Male,25-34,Kolkata,11,40.9,Cart,1,0,0,1,0
SESS000069,USR05858,22-02-2024,Feb-24,Q1 2024,PROD4978,apparel.footwear,Nike,4940.73,0,Mobile,Social Media,Male,45-54,Kolkata,12,34.9,Purchase,1,1,1,0,4940.73
SESS000070,USR04637,05-02-2024,Feb-24,Q1 2024,PROD7071,electronics.laptop,Lenovo,91593.16,0,Desktop,Social Media,Male,35-44,Lucknow,9,29.3,Purchase,1,1,1,0,91593.16
SESS000071,USR06737,21-11-2024,Nov-24,Q4 2024,PROD6934,books.fiction,Penguin,431.79,0,Mobile,Direct,Female,18-24,Hyderabad,15,37.4,Cart,1,0,0,1,0
SESS000072,USR06012,04-09-2024,Sep-24,Q3 2024,PROD9817,books.education,McGraw-Hill,1308.64,10,Mobile,Organic Search,Female,45-54,Kolkata,8,19.9,View,0,0,0,0,0
SESS000073,USR02012,25-08-2024,Aug-24,Q3 2024,PROD4995,electronics.tablet,Lenovo,71714.18,20,Mobile,Paid Ad,Male,35-44,Lucknow,10,27.7,View,0,0,0,0,0
SESS000074,USR04050,12-05-2024,May-24,Q2 2024,PROD6813,home.furniture,Godrej,25402.4,10,Desktop,Organic Search,Male,18-24,Jaipur,6,12.9,Cart,1,0,0,1,0
SESS000075,USR04233,07-09-2024,Sep-24,Q3 2024,PROD7658,apparel.footwear,Nike,2310.17,25,Mobile,Organic Search,Male,18-24,Pune,9,34.2,Checkout,1,1,0,1,0
SESS000076,USR04021,26-07-2024,Jul-24,Q3 2024,PROD4630,sports.clothing,Nike,734.99,15,Mobile,Organic Search,Male,25-34,Delhi,12,11.3,Cart,1,0,0,1,0
SESS000077,USR04350,29-06-2024,Jun-24,Q2 2024,PROD6419,home.appliances,Whirlpool,39870.31,10,Mobile,Social Media,Female,18-24,Hyderabad,12,20.7,View,0,0,0,0,0
SESS000078,USR00989,19-12-2024,Dec-24,Q4 2024,PROD9779,apparel.footwear,Puma,1396.66,25,Desktop,Paid Ad,Male,35-44,Ahmedabad,3,9,View,0,0,0,0,0
SESS000079,USR04830,31-05-2024,May-24,Q2 2024,PROD4180,books.education,McGraw-Hill,1964.92,10,Mobile,Organic Search,Female,18-24,Lucknow,4,16.6,View,0,0,0,0,0
SESS000080,USR04376,10-10-2024,Oct-24,Q4 2024,PROD1893,electronics.camera,Sony,19779.15,0,Tablet,Paid Ad,Female,35-44,Hyderabad,5,31.5,Checkout,1,1,0,1,0
SESS000081,USR06167,28-08-2024,Aug-24,Q3 2024,PROD5658,books.fiction,Penguin,717.27,0,Tablet,Push Notification,Male,25-34,Delhi,8,20.1,Purchase,1,1,1,0,717.27
SESS000082,USR02069,08-09-2024,Sep-24,Q3 2024,PROD7565,books.fiction,Penguin,684.38,0,Desktop,Organic Search,Male,25-34,Chennai,2,26.2,View,0,0,0,0,0
SESS000083,USR06645,01-03-2024,Mar-24,Q1 2024,PROD5066,grocery.beverages,Dabur,70.04,5,Mobile,Organic Search,Male,35-44,Kolkata,9,34.5,Purchase,1,1,1,0,66.54
SESS000084,USR03117,05-06-2024,Jun-24,Q2 2024,PROD8025,sports.clothing,Reebok,1470.47,0,Desktop,Email Campaign,Female,45-54,Delhi,10,28.1,Purchase,1,1,1,0,1470.47
SESS000085,USR01703,21-03-2024,Mar-24,Q1 2024,PROD2330,toys.games,Nintendo,4337.37,0,Tablet,Social Media,Male,35-44,Bangalore,4,8.2,View,0,0,0,0,0
SESS000086,USR03347,28-04-2024,Apr-24,Q2 2024,PROD1534,sports.clothing,Under Armour,2091.68,25,Mobile,Social Media,Male,55+,Delhi,5,32,View,0,0,0,0,0
SESS000087,USR01913,05-08-2024,Aug-24,Q3 2024,PROD4241,beauty.skincare,Himalaya,2034.37,0,Mobile,Paid Ad,Other,18-24,Chennai,2,24.7,Purchase,1,1,1,0,2034.37
SESS000088,USR06772,31-10-2024,Oct-24,Q4 2024,PROD6039,electronics.camera,Canon,21261.99,10,Desktop,Referral,Female,45-54,Bangalore,12,37.2,Cart,1,0,0,1,0
SESS000089,USR03840,03-10-2024,Oct-24,Q4 2024,PROD9199,beauty.makeup,NYX,3782.17,0,Mobile,Direct,Female,18-24,Ahmedabad,8,20,Purchase,1,1,1,0,3782.17
SESS000090,USR06018,11-12-2024,Dec-24,Q4 2024,PROD4750,home.furniture,Pepperfry,3241.51,0,Desktop,Social Media,Female,18-24,Bangalore,14,38.8,Purchase,1,1,1,0,3241.51
SESS000091,USR05508,28-08-2024,Aug-24,Q3 2024,PROD3870,beauty.skincare,Himalaya,264.66,10,Mobile,Social Media,Male,35-44,Kolkata,9,29.5,View,0,0,0,0,0
SESS000092,USR04796,27-06-2024,Jun-24,Q2 2024,PROD8700,sports.equipment,Wilson,19396.58,0,Mobile,Organic Search,Male,55+,Pune,7,15.3,Purchase,1,1,1,0,19396.58
SESS000093,USR02702,08-10-2024,Oct-24,Q4 2024,PROD7561,sports.equipment,Wilson,6120.25,15,Mobile,Push Notification,Other,25-34,Ahmedabad,1,20.7,View,0,0,0,0,0
SESS000094,USR00950,24-08-2024,Aug-24,Q3 2024,PROD9889,home.decor,IKEA,5363.98,30,Mobile,Social Media,Female,35-44,Bangalore,7,2.9,Cart,1,0,0,1,0
SESS000095,USR06197,14-04-2024,Apr-24,Q2 2024,PROD1845,books.fiction,Simon & Schuster,437.33,10,Desktop,Social Media,Male,18-24,Mumbai,5,24.9,Cart,1,0,0,1,0
SESS000096,USR05721,29-12-2024,Dec-24,Q4 2024,PROD4920,books.fiction,Penguin,168.77,0,Mobile,Email Campaign,Male,25-34,Hyderabad,3,14.3,Cart,1,0,0,1,0
SESS000097,USR00764,27-11-2024,Nov-24,Q4 2024,PROD2924,apparel.accessories,Fossil,7190.99,10,Mobile,Organic Search,Female,45-54,Hyderabad,14,7.4,Cart,1,0,0,1,0
SESS000098,USR02240,21-08-2024,Aug-24,Q3 2024,PROD4993,sports.equipment,Wilson,19614.77,5,Tablet,Paid Ad,Male,25-34,Delhi,9,6.9,Purchase,1,1,1,0,18634.03
SESS000099,USR04164,23-06-2024,Jun-24,Q2 2024,PROD7798,electronics.camera,Canon,44005.98,10,Desktop,Social Media,Male,25-34,Pune,15,35.6,Purchase,1,1,1,0,39605.38
SESS000100,USR02318,17-03-2024,Mar-24,Q1 2024,PROD9022,beauty.makeup,Nykaa,2403.71,15,Mobile,Referral,Male,25-34,Lucknow,8,24.5,View,0,0,0,0,0
SESS000101,USR06250,06-04-2024,Apr-24,Q2 2024,PROD6272,grocery.food,Amul,482.58,20,Desktop,Organic Search,Male,55+,Mumbai,12,11.1,View,0,0,0,0,0
SESS000102,USR06354,27-12-2024,Dec-24,Q4 2024,PROD8749,sports.equipment,Decathlon,6704.44,20,Tablet,Email Campaign,Female,25-34,Jaipur,15,36.6,Purchase,1,1,1,0,5363.55
SESS000103,USR06492,05-03-2024,Mar-24,Q1 2024,PROD1606,toys.games,Nintendo,7682.27,15,Mobile,Social Media,Male,35-44,Delhi,9,43.5,Purchase,1,1,1,0,6529.93
SESS000104,USR07162,08-01-2024,Jan-24,Q1 2024,PROD8486,sports.clothing,Nike,2293.42,0,Mobile,Social Media,Male,25-34,Delhi,12,6.9,View,0,0,0,0,0
SESS000105,USR06403,28-11-2024,Nov-24,Q4 2024,PROD7512,beauty.skincare,Olay,1926.29,30,Mobile,Social Media,Male,18-24,Hyderabad,2,38.4,Cart,1,0,0,1,0
SESS000106,USR02595,12-11-2024,Nov-24,Q4 2024,PROD1588,toys.games,Razer,13149.55,10,Mobile,Direct,Male,45-54,Kolkata,2,10.9,Purchase,1,1,1,0,11834.59
SESS000107,USR06118,15-08-2024,Aug-24,Q3 2024,PROD2646,electronics.tablet,Amazon,78483.64,0,Desktop,Organic Search,Other,18-24,Delhi,3,31.4,View,0,0,0,0,0
SESS000108,USR06523,15-03-2024,Mar-24,Q1 2024,PROD8056,electronics.laptop,Lenovo,69807.92,0,Desktop,Social Media,Female,45-54,Delhi,4,24.1,View,0,0,0,0,0
SESS000109,USR00647,11-09-2024,Sep-24,Q3 2024,PROD4945,toys.kids,Fisher-Price,3212.64,5,Mobile,Organic Search,Female,25-34,Jaipur,15,26.5,Cart,1,0,0,1,0
SESS000110,USR02081,27-05-2024,May-24,Q2 2024,PROD8622,sports.clothing,Puma,2800.63,0,Desktop,Referral,Male,35-44,Delhi,11,24.8,Cart,1,0,0,1,0
SESS000111,USR02831,19-12-2024,Dec-24,Q4 2024,PROD7951,grocery.beverages,Dabur,330.3,10,Desktop,Referral,Female,25-34,Ahmedabad,5,20.8,View,0,0,0,0,0
SESS000112,USR03152,21-10-2024,Oct-24,Q4 2024,PROD6881,books.fiction,Penguin,304.18,10,Mobile,Direct,Male,35-44,Kolkata,5,44.7,View,0,0,0,0,0
SESS000113,USR06800,06-11-2024,Nov-24,Q4 2024,PROD1803,home.decor,Pepperfry,362.35,10,Mobile,Organic Search,Female,35-44,Delhi,12,22.6,Purchase,1,1,1,0,326.12
SESS000114,USR01886,13-11-2024,Nov-24,Q4 2024,PROD4115,toys.kids,Hasbro,1329.32,0,Desktop,Social Media,Male,35-44,Hyderabad,5,30.7,Checkout,1,1,0,1,0
SESS000115,USR07401,18-01-2024,Jan-24,Q1 2024,PROD8222,toys.games,Sony,4979.53,0,Mobile,Organic Search,Male,35-44,Bangalore,10,16.7,View,0,0,0,0,0
SESS000116,USR02418,03-10-2024,Oct-24,Q4 2024,PROD3165,home.furniture,Urban Ladder,10430.72,30,Mobile,Paid Ad,Male,18-24,Pune,15,43.7,Cart,1,0,0,1,0
SESS000117,USR02233,31-05-2024,May-24,Q2 2024,PROD8894,apparel.clothing,Levi's,4596.03,0,Mobile,Organic Search,Female,45-54,Kolkata,12,39.2,Cart,1,0,0,1,0
SESS000118,USR00617,12-10-2024,Oct-24,Q4 2024,PROD7511,electronics.camera,Nikon,105314.76,20,Mobile,Referral,Male,55+,Delhi,6,4.5,View,0,0,0,0,0
SESS000119,USR04396,26-10-2024,Oct-24,Q4 2024,PROD5295,electronics.headphone,Sennheiser,11373.28,15,Desktop,Paid Ad,Female,25-34,Bangalore,7,37.1,View,0,0,0,0,0
SESS000120,USR01916,08-11-2024,Nov-24,Q4 2024,PROD6374,books.fiction,Penguin,552.71,25,Tablet,Social Media,Female,45-54,Delhi,4,29.3,Purchase,1,1,1,0,414.53
SESS000121,USR02476,20-01-2024,Jan-24,Q1 2024,PROD1742,toys.games,Razer,2191.8,0,Mobile,Paid Ad,Female,25-34,Hyderabad,5,44.8,View,0,0,0,0,0
SESS000122,USR07269,09-12-2024,Dec-24,Q4 2024,PROD7078,grocery.food,ITC,419.21,30,Mobile,Organic Search,Female,25-34,Hyderabad,12,31.5,Cart,1,0,0,1,0
SESS000123,USR06081,11-11-2024,Nov-24,Q4 2024,PROD9017,electronics.camera,Fujifilm,83766.8,10,Mobile,Social Media,Male,18-24,Ahmedabad,7,42.3,View,0,0,0,0,0
SESS000124,USR03036,04-07-2024,Jul-24,Q3 2024,PROD4868,apparel.footwear,Reebok,3835.22,15,Mobile,Email Campaign,Male,55+,Bangalore,2,44.2,Cart,1,0,0,1,0
SESS000125,USR05283,03-03-2024,Mar-24,Q1 2024,PROD4109,home.appliances,Philips,16828.38,0,Mobile,Email Campaign,Male,35-44,Chennai,14,37.2,Checkout,1,1,0,1,0
SESS000126,USR05257,04-05-2024,May-24,Q2 2024,PROD6464,toys.games,Sony,1233.39,5,Mobile,Referral,Male,18-24,Bangalore,3,35.5,View,0,0,0,0,0
SESS000127,USR06269,17-06-2024,Jun-24,Q2 2024,PROD4817,grocery.food,ITC,607.06,0,Mobile,Direct,Male,45-54,Bangalore,13,7.1,View,0,0,0,0,0
SESS000128,USR01186,04-12-2024,Dec-24,Q4 2024,PROD2801,electronics.camera,Sony,98843.95,0,Desktop,Social Media,Female,35-44,Delhi,14,1.6,Cart,1,0,0,1,0
SESS000129,USR06459,27-01-2024,Jan-24,Q1 2024,PROD5347,apparel.accessories,Titan,728.83,30,Desktop,Organic Search,Male,35-44,Chennai,3,33.5,View,0,0,0,0,0
SESS000130,USR00521,30-10-2024,Oct-24,Q4 2024,PROD9408,books.fiction,HarperCollins,655.71,5,Tablet,Organic Search,Female,25-34,Mumbai,2,20.6,Purchase,1,1,1,0,622.92
SESS000131,USR00356,01-02-2024,Feb-24,Q1 2024,PROD1510,books.education,McGraw-Hill,1024.48,20,Mobile,Paid Ad,Female,25-34,Lucknow,8,38.2,Checkout,1,1,0,1,0
SESS000132,USR04017,07-11-2024,Nov-24,Q4 2024,PROD6277,sports.clothing,Nike,3637.36,10,Mobile,Social Media,Female,18-24,Kolkata,3,3.4,Checkout,1,1,0,1,0
SESS000133,USR04796,30-05-2024,May-24,Q2 2024,PROD9692,grocery.food,Britannia,411.86,20,Desktop,Paid Ad,Male,55+,Pune,8,23,View,0,0,0,0,0
SESS000134,USR05749,08-08-2024,Aug-24,Q3 2024,PROD4522,electronics.headphone,Boat,21764.78,20,Tablet,Social Media,Other,35-44,Mumbai,8,40,View,0,0,0,0,0
SESS000135,USR03716,06-08-2024,Aug-24,Q3 2024,PROD6120,home.decor,Westside,5918.02,15,Mobile,Organic Search,Male,25-34,Mumbai,6,30.1,Purchase,1,1,1,0,5030.32
SESS000136,USR05627,17-02-2024,Feb-24,Q1 2024,PROD2398,books.fiction,Penguin,209.3,15,Desktop,Organic Search,Male,25-34,Pune,7,4.8,Purchase,1,1,1,0,177.91
SESS000137,USR04558,09-12-2024,Dec-24,Q4 2024,PROD6400,electronics.laptop,Asus,144578.08,20,Mobile,Organic Search,Female,35-44,Kolkata,2,18.8,Purchase,1,1,1,0,115662.46
SESS000138,USR05907,23-02-2024,Feb-24,Q1 2024,PROD6761,electronics.laptop,Lenovo,100051.26,0,Mobile,Email Campaign,Male,45-54,Delhi,10,23.1,Checkout,1,1,0,1,0
